per,nseg,icalc,outseg,iupseg,iprior,nstrpts,flow,runoff,etsw,pptsw,roughch,roughbk,cdpth,fdpth,awdth,bwdth,hcond1,thickm1,elevup,width1,depth1,thts1,thti1,eps1,uhc1,hcond2,thickm2,elevdn,width2,depth2,thts2,thti2,eps2,uhc2
0,605,1,618,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.27023,96.47388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.2431,96.50364,0.0,0.0,0.0,0.0,0.0
0,606,1,619,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.79893,16.37429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.00969,16.524988,0.0,0.0,0.0,0.0,0.0
0,607,1,619,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.91885,6.4094205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.00969,6.5081177,0.0,0.0,0.0,0.0,0.0
0,608,1,620,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.04636,8.155846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.71188,8.435577,0.0,0.0,0.0,0.0,0.0
0,609,1,621,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.00818,5.8209805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.54895,5.935334,0.0,0.0,0.0,0.0,0.0
0,610,1,622,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.94235,8.884809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.19432,9.188093,0.0,0.0,0.0,0.0,0.0
0,611,1,623,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.7958,14.695229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.33157,14.714227,0.0,0.0,0.0,0.0,0.0
0,612,1,624,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.71683,9.166391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.74083,9.338382,0.0,0.0,0.0,0.0,0.0
0,613,1,625,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.45058,6.390212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.45058,6.4693446,0.0,0.0,0.0,0.0,0.0
0,614,1,626,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.47487,6.0332117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.47487,6.1412373,0.0,0.0,0.0,0.0,0.0
