per,k,i,j,q,boundname
0,8,98,75,-58.03779471128138,wel_402147
0,8,135,130,-35.537785368747116,wel_402178
0,8,164,125,-62.680818288183886,wel_402182
0,8,191,74,-10.407420258762277,wel_402185
0,8,190,73,-10.407420258762277,wel_402189
0,8,193,84,-13.05850381003831,wel_402198
0,8,193,84,-13.05850381003831,wel_402200
0,8,132,100,-103.09533299646554,wel_402214
0,8,159,75,-1.5794571274998717,wel_402224
0,8,120,120,-497.7967048544573,wel_402229
0,8,119,120,-454.8114682127909,wel_402230
0,8,120,118,-35.719205296679434,wel_402231
0,8,119,118,-44.72946928668674,wel_402233
0,8,182,96,-128.8687775996352,wel_402278
0,8,203,118,-242.7367751336514,wel_402279
0,8,101,50,-246.08024957583302,wel_402318
0,8,407,83,-3.7915262173527102,wel_403087
0,8,417,59,-344.34030880041496,wel_403187
0,8,417,61,-408.5342553078572,wel_403198
0,8,426,79,-8.083835691928478,wel_403252
0,8,426,79,-8.643485855215834,wel_403263
0,8,437,83,-8.394752449310342,wel_403285
0,8,400,112,-2.943345303214984,wel_403419
0,8,398,109,-215.79695740683943,wel_403452
0,8,398,109,-106.86208951214684,wel_403463
0,8,404,112,-4.591204117338866,wel_403641
0,8,408,114,-1.585675462647509,wel_403674
0,8,410,122,-6.093968444684545,wel_403752
0,8,413,123,-177.33152803112512,wel_403840
0,8,413,123,-148.5755833410942,wel_403852
0,8,646,280,-5.181945956364409,wel_403991
0,8,594,44,-2.5909729781822044,wel_404002
0,8,603,268,-14.595468980695992,wel_404012
0,8,582,280,-3.627362169455086,wel_404020
0,8,558,178,-46.62196776941058,wel_404033
0,8,559,176,-13.92907073070753,wel_404036
0,8,434,94,-8.291113530183054,wel_404040
0,8,558,112,-12.55896421984478,wel_404090
0,8,553,113,-9.078769315550444,wel_404091
0,8,437,119,-650.002572982526,wel_404107
0,8,496,93,-1.5545837869093226,wel_404114
0,8,496,93,-1.8655005442911872,wel_404115
0,8,496,93,-46.63751360727968,wel_404117
0,8,520,83,-14.571632029296717,wel_404122
0,8,519,83,-0.5078307037237121,wel_404123
0,8,542,147,-103.17710410365697,wel_404132
0,8,562,145,-27.723410866549585,wel_404136
0,8,561,143,-5.181945956364409,wel_404137
0,8,585,253,-13.581880351631115,wel_404143
0,8,596,256,-2072.7783825457636,wel_404144
0,8,547,200,-37.31001088582374,wel_404160
0,8,578,102,-27.10390922746622,wel_404181
0,8,361,34,-31.64614395551744,wel_404185
0,8,361,34,-32.27523219462008,wel_404196
0,8,362,2,-3342.8422447749417,wel_404251
0,8,394,19,-1051.624112384593,wel_404318
0,8,396,20,-1051.624112384593,wel_404339
0,8,402,35,-1051.624112384593,wel_404394
0,8,356,77,-3.2438981686841197,wel_404417
0,8,350,71,-828.2926055571997,wel_404428
0,8,275,67,-4.9746681181098324,wel_404535
0,8,20,114,-2.987029107627136,wel_404545
0,8,349,23,-2.590869339263077,wel_404603
0,8,56,120,-15.545837869093226,wel_404643
0,8,55,122,-5.70014055200085,wel_404644
